text|favorited|favoriteCount|replyToSN|created|truncated|replyToSID|id|replyToUID|statusSource|screenName|retweetCount|isRetweet|retweeted|longitude|latitude
#SRAS<U+30FC>2019: Face à cette terrible pandémie du nouveau #Coronavirus du #SRAS, serrons nous les coudes pour atténuer… https://t.co/TJyH3IomQG|FALSE|1|NA|2020-04-10 15:22:26|TRUE|NA|1248632439427272704|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|thibault_am|1|FALSE|FALSE|NA|NA
RT @_polemia: #Covid19 #Coronavirus <U+0001F9A0> En plein milieu de la crise sanitaire, Emmanuel Macron change une fois de plus son équipe de communic…|FALSE|0|NA|2020-04-10 15:22:24|FALSE|NA|1248632432141783042|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|WatsonHelmholtz|8|TRUE|FALSE|NA|NA
RT @quentinperinel: Amélie, médecin, en première ligne face au #Coronavirus <U+0001F637> dans <U+2066>@Le_Figaro<U+2069> : « Je porte une blouse de peintre, un masq…|FALSE|0|NA|2020-04-10 15:22:23|FALSE|NA|1248632428127715328|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|JeanPepere|168|TRUE|FALSE|NA|NA
RT @lapin47: #Covid19 - Que faisaient #Macron et la #Macronie le #22_janvier ? --- #Singapour a commencé à filtrer tous les passagers arriv…|FALSE|0|NA|2020-04-10 15:22:23|FALSE|NA|1248632424688504832|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|ThevoyagerZyon|2|TRUE|FALSE|NA|NA
RT @Sophie_Wilmes: Comité de concertation terminé. La situation dans certaines maisons de repos (MR/MRS) nécessite une réponse collective.…|FALSE|0|NA|2020-04-10 15:22:22|FALSE|NA|1248632422985617410|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|AlessFaccin|8|TRUE|FALSE|NA|NA
RT @Callystor: La véritable ambiance entre #Macron et les soignants du #KremlinBicêtre était très différente de ce que suggère la vidéo pub…|FALSE|0|NA|2020-04-10 15:22:22|FALSE|NA|1248632419911110656|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|Eloficial6|2627|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : J.M #Blanquer "La reprise le 4 mai n’a jamais été une certitude mais un retour au mois de ma…|FALSE|0|NA|2020-04-10 15:22:21|FALSE|NA|1248632418866794496|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|jerem02222716|201|TRUE|FALSE|NA|NA
RT @ONUFemmes: <U+0001F3E0> <U+0001F4DE> <U+0001F469><U+200D><U+0001F4BB> <U+0001F48C> Il existe de nombreuses façons d'aider sa communauté tout en respectant le #confinement pour freiner le #coronavir…|FALSE|0|NA|2020-04-10 15:22:21|FALSE|NA|1248632417868558343|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|BatsieliliJhon|15|TRUE|FALSE|NA|NA
Pour faire du sport en appartement, une petite suggestion de vidéo très bien faite. #Sport #Confinement #Coronavirus https://t.co/XBlmbY0wSp|FALSE|1|NA|2020-04-10 15:22:20|FALSE|NA|1248632413271527426|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|Queen089|0|FALSE|FALSE|NA|NA
RT @le_Parisien: 1,6 million de Français seraient infectés par le #coronavirus, selon une première estimation communiquée jeudi soir par le…|FALSE|0|NA|2020-04-10 15:22:20|FALSE|NA|1248632411421843457|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|ChalbiNaima|175|TRUE|FALSE|NA|NA
RT @Callystor: La véritable ambiance entre #Macron et les soignants du #KremlinBicêtre était très différente de ce que suggère la vidéo pub…|FALSE|0|NA|2020-04-10 15:22:19|FALSE|NA|1248632409500852227|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|Th0034|2627|TRUE|FALSE|NA|NA
RT @RadioCanadaInfo: #COVID19 Quelle est la situation pour le personnel soignant au Québec? Nancy Bédard, présidente de la Fédération inter…|FALSE|0|NA|2020-04-10 15:22:19|FALSE|NA|1248632409253429249|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|JPierreLeboeuf|4|TRUE|FALSE|NA|NA
RT @JoshuaHabib4: On va commencer par demander aux milliardaires de renoncer à leur bénéfices quelques années, à payer des impôts et par ré…|FALSE|0|NA|2020-04-10 15:22:19|FALSE|NA|1248632408078987266|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|ChassaingAndre|60|TRUE|FALSE|NA|NA
Le #COVID19 ou #coronavirus a-t-il été créé en 2013 en #Chine ? Voici un article troublant ... #confinementjour25  https://t.co/hl2XxGcpZo|FALSE|0|NA|2020-04-10 15:22:18|FALSE|NA|1248632404484468736|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|odbruges|0|FALSE|FALSE|NA|NA
